Reviews1,Theme1
"Care for employees, trust and empowerment, little to nil micro-management, No undue pressure.",Freedom to work
"Celebrating days like safety day, environment day, annual day, achieving milestone in organization are the biggest source of happiness.  ",Employee Engagement
Employees working together as family members and taking care during adverse condition.,Team bonding
"freedom of work, encourage and appreciation of work, easily approachable to the top management,support and guidance at every stage of work. well culture which give you feel like homely atmosphere.",Freedom to work
Working atmosphere in our department is the biggest source of happiness for me. ,work environment
Flexibility to work in different projects,Work life balanceWork 
Benevolent management. Healthy work culture. No bureaucracy or politics.,Positive organisational culture
"Decision making is fast. Helps taking the matter further
Work culture / dynamics is encouraging, People are supportive. ",Supportive employees
Team celebration ,Employee Engagement
winning a challenge of work.,Performance management
"People are good , no politics in the company and all the HODs are matured and passionate .  ",Transparency
Support of persons working in various departments. Whenever we reach plant for specific needs it is well accepted despite of task being deifferent from routine work.,Team bonding
Freedom at work and caring top management,Leadership style
encouraging entrepreneurial character,Positive organisational culture
Feel tension  free environment and good earning.,Positive organisational culture
Freedoom of doing own work,Freedom to work
Some HR Policy are require change.e.g- 1 in canteen facility improve.2-during night shift break fast facility improve.3- company employe create Home loan subsidy. ,N.A.
Working Atmosphere ,Positive organisational culture
management,Leadership style
"My work, good supports from others, giudance from the superior",Leadership style
Openness at all level : any one can knock door of top official and talk the problems / issues personal as well as organisational related ,Transparency
freedam  to do the work ,Freedom to work
My work ,Performance management
Free work environment and helpful people,Freedom to work
